date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,cluster
2021/01/04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.53359166666668,89.93839666666668,88.71186499999999,89.00101000000001,88.77198833333334,89.36138833333334,90.49472833333334,90.67052166666667,88.64286833333334,30.171645,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.88739,90.67111666666666,86.735635,86.95126,85.93818666666665,84.158285,85.49840999999999,83.23477333333334,83.06203500000001,27.638811666666665,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.22565999999999,87.15368833333333,84.15997333333333,82.20150333333333,83.54982166666667,80.35990166666666,83.79215500000001,80.692145,79.42929166666667,25.839424166666664,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.97832166666666,83.33113833333334,79.37052166666666,81.28839,80.898005,79.01093166666666,79.39042333333335,80.14016,78.79042999999999,27.46051499999999,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.82431999999999,79.14402166666665,75.75296333333333,73.92393166666666,76.36033166666665,73.95411333333332,74.97600166666666,71.548065,71.883215,25.679638333333333,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.43017333333333,77.04371000000002,73.61623333333333,70.07540333333333,73.29661666666667,71.03821333333333,70.98377166666667,70.48982666666669,70.11209666666667,23.167413333333336,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.53936999999999,76.00079166666667,75.57764666666667,71.44371,71.37644833333334,72.27599833333335,72.63323666666665,73.05135999999999,71.54977333333332,26.502946666666663,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.627023333333334,65.63369,68.622115,68.76007333333334,68.41237333333333,52.74868666666667,73.11105,73.46955,56.33563100000001,1.9883168333333336,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.644905,75.06237833333333,71.73324833333334,75.40763666666666,72.35243166666666,74.962165,73.82504166666666,74.44630333333332,58.133819999999986,4.288753333333333,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.10999666666667,75.45742,75.21048833333333,75.69758166666666,76.25544333333335,77.44501666666667,76.12375499999999,75.97003999999998,60.34884500000002,3.880491666666666,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.74457,72.10823833333333,74.02751666666666,70.42757833333333,72.60481833333333,68.90833666666666,71.39154833333333,69.17517666666667,54.507979500000005,2.841097333333333,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.93049666666667,72.15446,74.29911333333334,74.62548000000001,75.58244833333333,74.92178666666666,75.89903333333334,75.17379500000001,61.148055,4.095916666666667,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.06335,81.16549666666667,82.32127166666666,83.96016833333334,83.46822833333333,83.82128333333334,84.36506833333333,81.73477833333332,65.334625,3.7769116666666673,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.96756500000001,90.02302,93.35128499999999,96.13501666666667,95.90250666666667,96.04291500000001,94.07544333333334,93.15258166666665,72.41065766666667,3.1484280000000004,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.46126999999997,105.94454166666668,104.32507833333334,102.93382,98.76932333333333,95.34918166666668,97.33447833333334,95.170125,72.84169,4.321315000000001,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.31162166666667,93.41925833333335,95.784885,96.49868500000001,97.31139999999998,93.54864833333333,92.69270333333334,90.63537833333334,71.19577833333334,4.054263333333333,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.28618333333333,93.94207333333334,96.68848500000003,97.01071166666665,94.98705666666665,92.28212833333332,92.45954666666667,90.90514166666668,68.63674183333333,2.103799,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.45312333333332,93.87621833333334,91.90110166666668,91.57179500000001,88.89452500000002,87.79062833333334,86.747305,88.68278666666667,67.04626333333333,4.374816666666667,0.0,0.0,0.0,0.0,0.0,0.0,2
2021/01/28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.19496333333335,86.63728,82.54586166666667,81.320945,80.90494666666666,80.25183999999999,81.96310333333334,79.10611833333334,64.02202,3.90947,0.0,0.0,0.0,0.0,0.0,0.0,2
